Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Omer Yurtseven,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,1.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Omer Yurtseven,2022-23,Postseason,Thu 6/1,@DEN,L104-93,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omer Yurtseven,2022-23,Postseason,Thu 5/25,@BOS,L110-97,3.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
Omer Yurtseven,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omer Yurtseven,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,5.0,1-4,25.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Omer Yurtseven,2022-23,Postseason,Sat 5/6,vsNY,W105-86,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Omer Yurtseven,2022-23,Postseason,Sat 4/22,vsMIL,W121-99,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omer Yurtseven,2022-23,Regular,Sun 4/9,vsORL,W123-110,24.0,5-9,55.6,1-3,33.3,3-3,100.0,7.0,0.0,1.0,1.0,4.0,1.0,14.0,1.0,3.0
Omer Yurtseven,2022-23,Regular,Fri 4/7,@WSH,L114-108,17.0,4-7,57.1,2-3,66.7,0-0,0.0,6.0,2.0,0.0,0.0,5.0,1.0,10.0,2.0,3.0
Omer Yurtseven,2022-23,Regular,Thu 4/6,@PHI,W129-101,5.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
Omer Yurtseven,2022-23,Regular,Sat 3/25,vsBKN,L129-100,4.0,1-1,100.0,0-0,0.0,1-1,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Omer Yurtseven,2022-23,Regular,Sun 3/19,@DET,W112-100,4.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Omer Yurtseven,2022-23,Regular,Sat 3/18,@CHI,L113-99,5.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Omer Yurtseven,2022-23,Regular,Wed 3/15,vsMEM,W138-119,7.0,2-3,66.7,0-0,0.0,1-2,50.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0
Omer Yurtseven,2022-23,Regular,Mon 3/13,vsUTAH,W119-115,11.0,1-2,50.0,0-0,0.0,0-0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Omer Yurtseven,2022-23,Regular,Sat 3/11,@ORL,L126-114 OT,7.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Omer Yurtseven,2022-23,Preseason,Tue 10/4,vsMIN,L121-111,27.0,5-12,41.7,1-3,33.3,0-0,0.0,9.0,1.0,0.0,0.0,6.0,2.0,11.0,1.0,3.0
