Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Garrett Temple,2022-23,Regular,Tue 4/4,vsSAC,L121-103,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Garrett Temple,2022-23,Regular,Mon 3/27,@POR,W124-90,7.0,2-2,100.0,1-1,100.0,0-0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0
Garrett Temple,2022-23,Regular,Sat 3/25,@LAC,W131-110,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Temple,2022-23,Regular,Thu 3/23,vsCHA,W115-96,2.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Garrett Temple,2022-23,Regular,Tue 3/21,vsSA,W119-84,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Garrett Temple,2022-23,Regular,Sun 3/12,vsPOR,W127-110,9.0,0-4,0.0,0-2,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Garrett Temple,2022-23,Regular,Sat 2/25,@NY,L128-106,4.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Temple,2022-23,Regular,Fri 2/10,vsCLE,L118-107,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Temple,2022-23,Regular,Sun 2/5,vsSAC,W136-104,5.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Garrett Temple,2022-23,Regular,Tue 1/24,vsDEN,L99-98,7.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Garrett Temple,2022-23,Regular,Wed 1/18,vsMIA,L124-98,6.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
