Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Caleb Houstan,2022-23,Regular,Sun 4/9,@MIA,L123-110,34.0,6-15,40.0,5-11,45.5,4-5,80.0,0.0,1.0,0.0,2.0,2.0,0.0,21.0,5.0,11.0
Caleb Houstan,2022-23,Regular,Fri 4/7,@BKN,L101-84,26.0,1-3,33.3,1-3,33.3,0-0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0
Caleb Houstan,2022-23,Regular,Thu 4/6,vsCLE,L118-94,30.0,3-9,33.3,2-7,28.6,0-0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,8.0,2.0,7.0
Caleb Houstan,2022-23,Regular,Sun 4/2,vsDET,W128-102,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Caleb Houstan,2022-23,Regular,Fri 3/31,@WSH,W116-109,14.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Caleb Houstan,2022-23,Regular,Tue 3/28,@MEM,L113-108,9.0,0-3,0.0,0-3,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Caleb Houstan,2022-23,Regular,Sun 3/26,vsBKN,W119-106,22.0,0-5,0.0,0-5,0.0,0-0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
Caleb Houstan,2022-23,Regular,Thu 3/23,vsNY,W111-106,25.0,3-7,42.9,2-5,40.0,0-0,0.0,5.0,1.0,2.0,0.0,1.0,2.0,8.0,2.0,5.0
Caleb Houstan,2022-23,Regular,Tue 3/21,vsWSH,W122-112,14.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
Caleb Houstan,2022-23,Regular,Sun 3/19,@LAL,L111-105,14.0,0-2,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Caleb Houstan,2022-23,Regular,Sat 3/18,@LAC,W113-108,16.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
Caleb Houstan,2022-23,Regular,Tue 3/14,@SA,L132-114,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Houstan,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Houstan,2022-23,Regular,Tue 3/7,vsMIL,L134-123,22.0,1-4,25.0,1-4,25.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
Caleb Houstan,2022-23,Regular,Sun 3/5,vsPOR,L122-119,16.0,1-3,33.3,1-2,50.0,0-0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0
Caleb Houstan,2022-23,Regular,Fri 3/3,@CHA,W117-106,9.0,1-3,33.3,1-3,33.3,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
Caleb Houstan,2022-23,Regular,Wed 3/1,@MIL,L139-117,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Caleb Houstan,2022-23,Regular,Tue 2/14,@TOR,L123-113,12.0,2-4,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0
Caleb Houstan,2022-23,Regular,Mon 2/13,@CHI,W100-91,13.0,2-5,40.0,1-2,50.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,2.0
Caleb Houstan,2022-23,Regular,Thu 2/9,vsDEN,W115-104,16.0,3-4,75.0,1-2,50.0,0-0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0
