Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Danuel House Jr,2022-23,Postseason,Sun 5/14,@BOS,L112-88,6.0,2-5,40.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0
Danuel House Jr,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,8.0,1-3,33.3,1-2,50.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Danuel House Jr,2022-23,Postseason,Tue 5/9,@BOS,W115-103,15.0,5-7,71.4,0-2,0.0,0-0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,10.0,0.0,2.0
Danuel House Jr,2022-23,Postseason,Wed 5/3,@BOS,L121-87,8.0,1-5,20.0,0-3,0.0,1-1,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
Danuel House Jr,2022-23,Postseason,Mon 4/17,vsBKN,W96-84,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danuel House Jr,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Danuel House Jr,2022-23,Regular,Sun 4/9,@BKN,W134-105,23.0,3-11,27.3,0-3,0.0,3-3,100.0,4.0,3.0,0.0,0.0,1.0,1.0,9.0,0.0,3.0
Danuel House Jr,2022-23,Regular,Fri 4/7,@ATL,W136-131 OT,36.0,6-11,54.5,1-3,33.3,9-10,90.0,3.0,3.0,0.0,1.0,4.0,2.0,22.0,1.0,3.0
Danuel House Jr,2022-23,Regular,Thu 4/6,vsMIA,L129-101,20.0,2-5,40.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0
Danuel House Jr,2022-23,Regular,Tue 4/4,vsBOS,W103-101,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danuel House Jr,2022-23,Regular,Sun 4/2,@MIL,L117-104,9.0,4-7,57.1,2-4,50.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0
Danuel House Jr,2022-23,Regular,Fri 3/31,vsTOR,W117-110,12.0,3-5,60.0,1-3,33.3,1-1,100.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,3.0
Danuel House Jr,2022-23,Regular,Wed 3/29,vsDAL,W116-108,0.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danuel House Jr,2022-23,Regular,Mon 3/27,@DEN,L116-111,17.0,3-8,37.5,1-4,25.0,1-2,50.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,1.0,4.0
Danuel House Jr,2022-23,Regular,Wed 3/22,@CHI,W116-91,20.0,2-6,33.3,1-3,33.3,0-0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,5.0,1.0,3.0
Danuel House Jr,2022-23,Regular,Mon 3/20,vsCHI,L109-105 2OT,23.0,1-2,50.0,1-2,50.0,1-2,50.0,3.0,3.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0
