Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Duane Washington Jr,2022-23,Regular,Thu 1/26,vsDAL,L99-95,5.0,1-3,33.3,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Duane Washington Jr,2022-23,Regular,Tue 1/24,vsCHA,W128-97,6.0,3-4,75.0,2-3,66.7,0-0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0
Duane Washington Jr,2022-23,Regular,Sat 1/21,vsIND,W112-107,17.0,3-13,23.1,3-6,50.0,0-0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,9.0,3.0,6.0
Duane Washington Jr,2022-23,Regular,Thu 1/19,vsBKN,W117-112,6.0,0-4,0.0,0-2,0.0,0-0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Duane Washington Jr,2022-23,Regular,Fri 1/13,@MIN,L121-116,24.0,3-11,27.3,0-2,0.0,2-2,100.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,0.0,2.0
Duane Washington Jr,2022-23,Regular,Wed 1/11,@DEN,L126-97,24.0,3-14,21.4,1-6,16.7,1-3,33.3,1.0,5.0,2.0,0.0,2.0,4.0,8.0,1.0,6.0
Duane Washington Jr,2022-23,Regular,Tue 1/10,@GS,W125-113,27.0,6-17,35.3,5-9,55.6,4-4,100.0,1.0,5.0,0.0,1.0,2.0,4.0,21.0,5.0,9.0
Duane Washington Jr,2022-23,Regular,Sun 1/8,vsCLE,L112-98,25.0,9-18,50.0,5-6,83.3,2-3,66.7,1.0,3.0,0.0,0.0,1.0,4.0,25.0,5.0,6.0
Duane Washington Jr,2022-23,Regular,Fri 1/6,vsMIA,L104-96,25.0,5-18,27.8,1-6,16.7,2-2,100.0,2.0,7.0,0.0,1.0,0.0,3.0,13.0,1.0,6.0
Duane Washington Jr,2022-23,Regular,Wed 1/4,@CLE,L90-88,2.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Duane Washington Jr,2022-23,Regular,Mon 1/2,@NY,L102-83,12.0,4-9,44.4,1-4,25.0,1-1,100.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,1.0,4.0
Duane Washington Jr,2022-23,Regular,Fri 12/30,@TOR,L113-104,13.0,5-10,50.0,1-5,20.0,0-0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,11.0,1.0,5.0
Duane Washington Jr,2022-23,Regular,Wed 12/28,@WSH,L127-102,17.0,4-12,33.3,1-4,25.0,1-2,50.0,2.0,2.0,0.0,1.0,1.0,0.0,10.0,1.0,4.0
Duane Washington Jr,2022-23,Regular,Tue 12/27,@MEM,W125-108,24.0,10-21,47.6,5-9,55.6,1-1,100.0,4.0,8.0,0.0,1.0,2.0,3.0,26.0,5.0,9.0
Duane Washington Jr,2022-23,Regular,Fri 12/23,vsMEM,L125-100,19.0,5-15,33.3,2-5,40.0,2-4,50.0,3.0,5.0,0.0,0.0,0.0,0.0,14.0,2.0,5.0
Duane Washington Jr,2022-23,Regular,Tue 12/20,vsWSH,L113-110,12.0,4-8,50.0,2-4,50.0,0-0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0
Duane Washington Jr,2022-23,Regular,Sun 12/4,@SA,W133-95,3.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Duane Washington Jr,2022-23,Regular,Wed 11/30,vsCHI,W132-113,5.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
Duane Washington Jr,2022-23,Regular,Mon 11/28,@SAC,W122-117,9.0,2-3,66.7,1-2,50.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0
Duane Washington Jr,2022-23,Regular,Sat 11/26,vsUTAH,W113-112,4.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Duane Washington Jr,2022-23,Regular,Fri 11/25,vsDET,W108-102,17.0,2-5,40.0,1-3,33.3,0-0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,1.0,3.0
Duane Washington Jr,2022-23,Regular,Tue 11/22,vsLAL,W115-105,18.0,7-15,46.7,1-5,20.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,15.0,1.0,5.0
Duane Washington Jr,2022-23,Regular,Sun 11/20,vsNY,W116-95,16.0,2-10,20.0,1-3,33.3,0-0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,5.0,1.0,3.0
Duane Washington Jr,2022-23,Regular,Fri 11/18,@UTAH,L134-133,13.0,2-4,50.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Duane Washington Jr,2022-23,Regular,Wed 11/16,vsGS,W130-119,14.0,2-6,33.3,1-4,25.0,0-2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0
Duane Washington Jr,2022-23,Regular,Mon 11/14,@MIA,L113-112,19.0,8-14,57.1,5-8,62.5,0-0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,21.0,5.0,8.0
Duane Washington Jr,2022-23,Regular,Fri 11/11,@ORL,L114-97,7.0,2-6,33.3,1-4,25.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0
Duane Washington Jr,2022-23,Regular,Sat 11/5,vsPOR,W102-82,5.0,1-5,20.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Duane Washington Jr,2022-23,Regular,Sun 10/30,vsHOU,W124-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duane Washington Jr,2022-23,Regular,Fri 10/28,vsNO,W124-111,2.0,1-3,33.3,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Duane Washington Jr,2022-23,Regular,Sun 10/23,@LAC,W112-95,1.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duane Washington Jr,2022-23,Preseason,Wed 10/12,vsSAC,L105-104,39.0,10-19,52.6,1-5,20.0,10-11,90.9,2.0,4.0,0.0,3.0,5.0,11.0,31.0,1.0,5.0
Duane Washington Jr,2022-23,Preseason,Mon 10/10,@DEN,L107-105,19.0,3-10,30.0,2-6,33.3,2-2,100.0,2.0,6.0,0.0,0.0,1.0,1.0,10.0,2.0,6.0
Duane Washington Jr,2022-23,Preseason,Wed 10/5,vsLAL,W119-115,8.0,0-5,0.0,0-0,0.0,2-2,100.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
