Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Nathan Knight,2022-23,Postseason,Sun 4/16,@DEN,L109-80,5.0,1-4,25.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Nathan Knight,2022-23,Regular,Sun 4/9,vsNO,W113-108,2.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Nathan Knight,2022-23,Regular,Sat 4/8,@SA,W151-131,5.0,1-1,100.0,0-0,0.0,1-2,50.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
Nathan Knight,2022-23,Regular,Sat 3/18,@TOR,L122-107,3.0,1-3,33.3,0-1,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Nathan Knight,2022-23,Regular,Mon 3/13,@ATL,W136-115,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nathan Knight,2022-23,Regular,Sun 2/26,@GS,L109-104,8.0,1-1,100.0,0-0,0.0,1-2,50.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
Nathan Knight,2022-23,Regular,Fri 2/10,@MEM,L128-107,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Knight,2022-23,Regular,Wed 2/8,@UTAH,W143-118,12.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nathan Knight,2022-23,Regular,Tue 2/7,@DEN,L146-112,19.0,3-5,60.0,1-2,50.0,2-4,50.0,1.0,3.0,1.0,0.0,1.0,1.0,9.0,1.0,2.0
Nathan Knight,2022-23,Regular,Sun 2/5,vsDEN,W128-98,15.0,2-5,40.0,0-0,0.0,4-6,66.7,3.0,0.0,0.0,1.0,2.0,3.0,8.0,0.0,0.0
Nathan Knight,2022-23,Regular,Fri 2/3,vsORL,L127-120,11.0,0-2,0.0,0-1,0.0,2-2,100.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0
Nathan Knight,2022-23,Regular,Sat 1/28,vsSAC,W117-110,8.0,0-1,0.0,0-1,0.0,1-2,50.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
