Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Anthony Gill,2022-23,Regular,Sun 4/9,vsHOU,L114-109,21.0,3-8,37.5,0-2,0.0,2-4,50.0,2.0,2.0,0.0,1.0,3.0,0.0,8.0,0.0,2.0
Anthony Gill,2022-23,Regular,Fri 4/7,vsMIA,W114-108,19.0,2-5,40.0,0-2,0.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0
Anthony Gill,2022-23,Regular,Wed 4/5,@ATL,L134-116,20.0,2-4,50.0,0-1,0.0,0-2,0.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
Anthony Gill,2022-23,Regular,Tue 4/4,vsMIL,L140-128,22.0,2-4,50.0,1-1,100.0,3-5,60.0,3.0,1.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0
Anthony Gill,2022-23,Regular,Sun 4/2,@NY,L118-109,4.0,1-1,100.0,0-0,0.0,1-1,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Anthony Gill,2022-23,Regular,Fri 3/31,vsORL,L116-109,13.0,1-5,20.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
Anthony Gill,2022-23,Regular,Tue 3/28,vsBOS,W130-111,12.0,2-3,66.7,0-0,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Anthony Gill,2022-23,Regular,Sun 3/26,@TOR,L114-104,8.0,1-2,50.0,0-0,0.0,0-1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Anthony Gill,2022-23,Regular,Fri 3/24,vsSA,W136-124,18.0,1-3,33.3,0-0,0.0,2-3,66.7,1.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0
Anthony Gill,2022-23,Regular,Wed 3/22,vsDEN,L118-104,10.0,1-2,50.0,0-0,0.0,1-2,50.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Anthony Gill,2022-23,Regular,Tue 3/21,@ORL,L122-112,1.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Anthony Gill,2022-23,Regular,Sat 3/18,vsSAC,L132-118,14.0,1-3,33.3,0-1,0.0,4-4,100.0,6.0,0.0,2.0,1.0,3.0,0.0,6.0,0.0,1.0
