Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
JD Davison,2022-23,Regular,Sun 4/9,vsATL,W120-114,35.0,3-6,50.0,1-3,33.3,1-2,50.0,3.0,3.0,2.0,0.0,1.0,2.0,8.0,1.0,3.0
JD Davison,2022-23,Regular,Fri 4/7,vsTOR,W121-102,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Regular,Sun 3/26,vsSA,W137-93,7.0,2-2,100.0,1-1,100.0,0-0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0
JD Davison,2022-23,Regular,Fri 3/24,vsIND,W120-95,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Regular,Fri 3/17,@POR,W126-112,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Regular,Wed 3/8,vsPOR,W115-93,4.0,1-3,33.3,0-0,0.0,0-0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
JD Davison,2022-23,Regular,Wed 2/15,vsDET,W127-109,2.0,1-3,33.3,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
JD Davison,2022-23,Regular,Mon 1/23,@ORL,L113-98,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Regular,Sat 1/14,@CHA,W122-106,2.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Regular,Fri 11/25,vsSAC,W122-104,3.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
JD Davison,2022-23,Regular,Wed 11/16,@ATL,W126-101,4.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
JD Davison,2022-23,Regular,Fri 11/11,vsDEN,W131-112,2.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Preseason,Fri 10/7,vsCHA,W112-103,6.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,2022-23,Preseason,Sun 10/2,vsCHA,W134-93,6.0,2-3,66.7,0-0,0.0,0-1,0.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
