Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Dru Smith,2022-23,Regular,Sun 4/9,vsPHI,L134-105,24.0,0-4,0.0,0-0,0.0,2-2,100.0,4.0,3.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0
Dru Smith,2022-23,Regular,Fri 4/7,vsORL,W101-84,3.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dru Smith,2022-23,Regular,Wed 4/5,@DET,W123-108,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dru Smith,2022-23,Regular,Sun 3/26,@ORL,L119-106,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Dru Smith,2022-23,Regular,Sat 3/25,@MIA,W129-100,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dru Smith,2022-23,Regular,Thu 3/9,@MIL,L118-113,22.0,7-13,53.8,2-6,33.3,1-1,100.0,3.0,5.0,1.0,0.0,2.0,0.0,17.0,2.0,6.0
Dru Smith,2022-23,Regular,Tue 2/28,vsMIL,L118-104,5.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0
Dru Smith,2022-23,Regular,Mon 2/13,@NY,L124-106,4.0,2-3,66.7,0-1,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
Dru Smith,2022-23,Regular,Tue 2/7,vsPHX,L116-112,12.0,2-3,66.7,1-1,100.0,0-0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,5.0,1.0,1.0
Dru Smith,2022-23,Regular,Mon 2/6,vsLAC,L124-116,13.0,1-3,33.3,0-2,0.0,0-0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
Dru Smith,2022-23,Regular,Thu 12/8,vsLAC,W115-110,22.0,1-5,20.0,0-3,0.0,0-0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,2.0,0.0,3.0
Dru Smith,2022-23,Regular,Tue 12/6,vsDET,L116-96,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dru Smith,2022-23,Regular,Sun 11/27,@ATL,W106-98,21.0,2-3,66.7,1-1,100.0,0-0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,1.0
Dru Smith,2022-23,Regular,Fri 11/25,vsWSH,W110-107,16.0,1-3,33.3,0-0,0.0,0-0,0.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0
Dru Smith,2022-23,Regular,Wed 10/26,@POR,W119-98,6.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0
Dru Smith,2022-23,Preseason,Wed 10/12,vsNO,W120-103,6.0,1-2,50.0,0-0,0.0,0-0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
Dru Smith,2022-23,Preseason,Mon 10/10,vsHOU,W118-110,26.0,6-11,54.5,2-3,66.7,1-2,50.0,3.0,2.0,0.0,1.0,2.0,1.0,15.0,2.0,3.0
Dru Smith,2022-23,Preseason,Fri 10/7,@MEM,W111-108,10.0,1-5,20.0,0-4,0.0,0-0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,2.0,0.0,4.0
Dru Smith,2022-23,Preseason,Thu 10/6,@BKN,W109-80,21.0,5-10,50.0,1-3,33.3,1-1,100.0,3.0,3.0,0.0,2.0,0.0,2.0,12.0,1.0,3.0
Dru Smith,2022-23,Preseason,Tue 10/4,vsMIN,L121-111,13.0,2-5,40.0,2-2,100.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,6.0,2.0,2.0
