Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Vince Williams Jr,2022-23,Regular,Sun 4/9,@OKC,L115-100,48.0,6-21,28.6,1-14,7.1,2-2,100.0,8.0,1.0,1.0,2.0,5.0,4.0,15.0,1.0,14.0
Vince Williams Jr,2022-23,Regular,Fri 4/7,@MIL,W137-114,3.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Vince Williams Jr,2022-23,Regular,Wed 4/5,@NO,L138-131 OT,1.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Vince Williams Jr,2022-23,Regular,Sun 4/2,@CHI,L128-107,1.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vince Williams Jr,2022-23,Regular,Fri 3/3,@DEN,L113-97,3.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Vince Williams Jr,2022-23,Regular,Tue 2/28,vsLAL,W121-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Williams Jr,2022-23,Regular,Mon 1/23,@SAC,L133-100,4.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Vince Williams Jr,2022-23,Regular,Wed 1/4,@CHA,W131-107,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Williams Jr,2022-23,Regular,Sun 1/1,vsSAC,W118-108,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Williams Jr,2022-23,Regular,Mon 12/5,vsMIA,W101-93,14.0,0-3,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
Vince Williams Jr,2022-23,Regular,Fri 11/25,vsNO,W132-111,5.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Vince Williams Jr,2022-23,Regular,Sun 11/20,@BKN,L127-115,3.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Vince Williams Jr,2022-23,Regular,Fri 11/4,vsCHA,W130-99,7.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
Vince Williams Jr,2022-23,Regular,Mon 10/31,@UTAH,L121-105,5.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0
Vince Williams Jr,2022-23,Regular,Sat 10/22,@DAL,L137-96,6.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Vince Williams Jr,2022-23,Preseason,Thu 10/13,@DET,W126-111,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vince Williams Jr,2022-23,Preseason,Fri 10/7,vsMIA,L111-108,4.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Vince Williams Jr,2022-23,Preseason,Sat 10/1,@MIL,W107-102,18.0,1-3,33.3,1-3,33.3,0-0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0
