Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Wesley Matthews,2022-23,Postseason,Wed 4/26,vsMIA,L128-126 OT,24.0,2-5,40.0,2-3,66.7,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,3.0
Wesley Matthews,2022-23,Postseason,Sun 4/16,vsMIA,L130-117,18.0,2-4,50.0,2-4,50.0,0-0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,6.0,2.0,4.0
Wesley Matthews,2022-23,Regular,Sun 4/9,@TOR,L121-105,22.0,0-5,0.0,0-4,0.0,3-4,75.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
Wesley Matthews,2022-23,Regular,Fri 4/7,vsMEM,L137-114,6.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Wesley Matthews,2022-23,Regular,Wed 4/5,vsCHI,W105-92,30.0,3-7,42.9,1-4,25.0,0-0,0.0,8.0,2.0,1.0,1.0,3.0,0.0,7.0,1.0,4.0
Wesley Matthews,2022-23,Regular,Tue 4/4,@WSH,W140-128,30.0,3-4,75.0,3-4,75.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,4.0
Wesley Matthews,2022-23,Regular,Sun 4/2,vsPHI,W117-104,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Matthews,2022-23,Regular,Thu 3/30,vsBOS,L140-99,16.0,2-5,40.0,0-3,0.0,0-0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0
Wesley Matthews,2022-23,Regular,Wed 3/29,@IND,W149-136,20.0,3-4,75.0,1-2,50.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0
Wesley Matthews,2022-23,Regular,Mon 3/27,@DET,W126-117,16.0,1-3,33.3,0-2,0.0,2-2,100.0,2.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Sat 3/25,@DEN,L129-106,11.0,0-1,0.0,0-1,0.0,2-2,100.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Fri 3/24,@UTAH,W144-116,23.0,1-3,33.3,0-2,0.0,0-0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Wed 3/22,vsSA,W130-94,12.0,1-2,50.0,1-2,50.0,0-0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
Wesley Matthews,2022-23,Regular,Thu 3/16,vsIND,L139-123,13.0,3-5,60.0,2-4,50.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,8.0,2.0,4.0
Wesley Matthews,2022-23,Regular,Tue 3/14,@PHX,W116-104,11.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Thu 2/16,@CHI,W112-100,20.0,1-3,33.3,1-3,33.3,2-2,100.0,3.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,3.0
Wesley Matthews,2022-23,Regular,Tue 2/14,vsBOS,W131-125 OT,10.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Fri 2/10,@LAC,W119-106,19.0,0-1,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Thu 2/9,@LAL,W115-106,22.0,1-5,20.0,0-3,0.0,0-0,0.0,6.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0
Wesley Matthews,2022-23,Regular,Mon 2/6,@POR,W127-108,22.0,2-5,40.0,2-4,50.0,0-0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,4.0
Wesley Matthews,2022-23,Regular,Sat 2/4,vsMIA,W123-115,19.0,0-2,0.0,0-1,0.0,1-2,50.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Thu 2/2,vsLAC,W106-105,25.0,0-4,0.0,0-4,0.0,3-4,75.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0
Wesley Matthews,2022-23,Regular,Tue 1/31,vsCHA,W124-115,16.0,3-6,50.0,3-5,60.0,2-2,100.0,6.0,1.0,1.0,0.0,2.0,0.0,11.0,3.0,5.0
Wesley Matthews,2022-23,Regular,Sun 1/29,vsNO,W135-110,20.0,3-6,50.0,2-4,50.0,0-0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0
Wesley Matthews,2022-23,Regular,Fri 1/27,@IND,W141-131,20.0,1-4,25.0,1-3,33.3,0-0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0
Wesley Matthews,2022-23,Regular,Wed 1/25,vsDEN,W107-99,15.0,1-3,33.3,1-3,33.3,0-0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0
Wesley Matthews,2022-23,Regular,Mon 1/23,@DET,W150-130,7.0,2-2,100.0,2-2,100.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,2.0,2.0
Wesley Matthews,2022-23,Regular,Mon 1/16,vsIND,W132-119,6.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Wesley Matthews,2022-23,Regular,Fri 1/6,vsCHA,L138-109,9.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Wed 12/28,@CHI,L119-113 OT,31.0,1-5,20.0,1-4,25.0,0-0,0.0,6.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0
Wesley Matthews,2022-23,Regular,Sun 12/25,@BOS,L139-118,15.0,0-2,0.0,0-2,0.0,2-2,100.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Wed 12/21,@CLE,L114-106,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Wesley Matthews,2022-23,Regular,Mon 12/19,@NO,W128-119,17.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0
Wesley Matthews,2022-23,Regular,Sat 12/17,vsUTAH,W123-97,14.0,2-4,50.0,2-4,50.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,4.0
Wesley Matthews,2022-23,Regular,Thu 12/15,@MEM,L142-101,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wesley Matthews,2022-23,Regular,Tue 12/13,vsGS,W128-111,14.0,2-2,100.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0
Wesley Matthews,2022-23,Regular,Fri 12/2,vsLAL,L133-129,10.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Wed 11/30,@NY,W109-103,13.0,0-1,0.0,0-1,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Sun 11/27,vsDAL,W124-115,9.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Wesley Matthews,2022-23,Regular,Fri 11/25,vsCLE,W117-102,17.0,2-4,50.0,1-3,33.3,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0
Wesley Matthews,2022-23,Regular,Wed 11/23,vsCHI,L118-113,17.0,2-3,66.7,2-3,66.7,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,3.0
Wesley Matthews,2022-23,Regular,Mon 11/14,vsATL,L121-106,12.0,0-3,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Fri 11/11,@SA,L111-93,22.0,0-5,0.0,0-5,0.0,2-2,100.0,2.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,5.0
Wesley Matthews,2022-23,Regular,Wed 11/9,@OKC,W136-132 2OT,29.0,2-4,50.0,1-1,100.0,0-0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0
Wesley Matthews,2022-23,Regular,Mon 11/7,@ATL,L117-98,13.0,2-5,40.0,2-4,50.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0
Wesley Matthews,2022-23,Regular,Sat 11/5,vsOKC,W108-94,13.0,0-3,0.0,0-2,0.0,0-0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Wesley Matthews,2022-23,Regular,Fri 11/4,@MIN,W115-102,10.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0
Wesley Matthews,2022-23,Regular,Wed 11/2,vsDET,W116-91,15.0,1-4,25.0,1-4,25.0,0-0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,4.0
Wesley Matthews,2022-23,Regular,Mon 10/31,vsDET,W110-108,21.0,1-3,33.3,1-3,33.3,0-0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0
Wesley Matthews,2022-23,Regular,Sat 10/29,vsATL,W123-115,18.0,2-5,40.0,1-3,33.3,0-0,0.0,7.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0
