Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Moses Brown,2022-23,Regular,Fri 3/31,vsATL,W124-107,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 3/26,@ORL,L119-106,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 1/29,@CLE,L122-99,26.0,5-7,71.4,0-0,0.0,3-3,100.0,16.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0
Moses Brown,2022-23,Regular,Tue 1/17,vsPHI,L120-110,9.0,2-2,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 1/15,vsHOU,W121-100,14.0,2-3,66.7,0-0,0.0,1-4,25.0,6.0,0.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0
Moses Brown,2022-23,Regular,Fri 1/13,vsDEN,L115-103,11.0,2-2,100.0,0-0,0.0,0-0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Moses Brown,2022-23,Regular,Tue 1/10,vsDAL,W113-101,5.0,1-3,33.3,0-0,0.0,0-1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 1/8,vsATL,L112-108,10.0,4-7,57.1,0-0,0.0,0-2,0.0,10.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0
Moses Brown,2022-23,Regular,Fri 1/6,@MIN,L128-115,27.0,5-10,50.0,0-0,0.0,4-8,50.0,11.0,0.0,0.0,1.0,3.0,1.0,14.0,0.0,0.0
Moses Brown,2022-23,Regular,Thu 1/5,@DEN,L122-91,19.0,5-6,83.3,0-0,0.0,2-7,28.6,10.0,0.0,1.0,0.0,2.0,1.0,12.0,0.0,0.0
Moses Brown,2022-23,Regular,Mon 12/26,@DET,W142-131 OT,3.0,1-1,100.0,0-0,0.0,1-1,100.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 12/21,vsCHA,W126-105,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Sat 12/17,vsWSH,W102-93,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Thu 12/15,vsPHX,L111-95,23.0,2-6,33.3,0-0,0.0,1-3,33.3,12.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 12/14,vsMIN,W99-88,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Mon 12/12,vsBOS,W113-93,4.0,1-2,50.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Moses Brown,2022-23,Regular,Sat 12/10,@WSH,W114-107,7.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Moses Brown,2022-23,Regular,Thu 12/8,@MIA,L115-110,5.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 12/7,@ORL,L116-111 OT,15.0,3-6,50.0,0-0,0.0,1-4,25.0,8.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0
Moses Brown,2022-23,Regular,Mon 12/5,@CHA,W119-117,10.0,4-5,80.0,0-0,0.0,0-0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,0.0
Moses Brown,2022-23,Regular,Sat 12/3,vsSAC,L123-96,8.0,1-3,33.3,0-0,0.0,3-4,75.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 11/30,@UTAH,L125-112,3.0,0-2,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Tue 11/29,@POR,W118-112,3.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 11/27,vsIND,W114-100,11.0,1-2,50.0,0-0,0.0,8-12,66.7,3.0,1.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0
Moses Brown,2022-23,Regular,Fri 11/25,vsDEN,L114-104,6.0,1-1,100.0,0-0,0.0,1-6,16.7,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 11/23,@GS,L124-107,12.0,4-7,57.1,0-0,0.0,2-6,33.3,6.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0
Moses Brown,2022-23,Regular,Sat 11/19,vsSA,W119-97,10.0,2-2,100.0,0-0,0.0,2-4,50.0,2.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0
Moses Brown,2022-23,Regular,Thu 11/17,vsDET,W96-91,5.0,2-2,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
Moses Brown,2022-23,Regular,Mon 11/14,@HOU,W122-106,5.0,2-2,100.0,0-0,0.0,2-2,100.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
Moses Brown,2022-23,Regular,Sat 11/12,vsBKN,L110-95,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 11/9,vsLAL,W114-101,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Wed 11/2,@HOU,W109-101,12.0,6-8,75.0,0-0,0.0,1-3,33.3,7.0,0.0,1.0,0.0,3.0,0.0,13.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 10/30,vsNO,L112-91,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Thu 10/27,@OKC,L118-110,2.0,1-1,100.0,0-0,0.0,1-2,50.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
Moses Brown,2022-23,Regular,Tue 10/25,@OKC,L108-94,3.0,0-1,0.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Moses Brown,2022-23,Regular,Sun 10/23,vsPHX,L112-95,3.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
