Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Yuta Watanabe,2022-23,Postseason,Sat 4/15,@PHI,L121-101,5.0,1-2,50.0,1-2,50.0,0-2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Yuta Watanabe,2022-23,Regular,Sun 4/9,vsPHI,L134-105,33.0,3-8,37.5,2-6,33.3,1-2,50.0,7.0,1.0,2.0,0.0,1.0,2.0,9.0,2.0,6.0
Yuta Watanabe,2022-23,Regular,Fri 4/7,vsORL,W101-84,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Yuta Watanabe,2022-23,Regular,Wed 4/5,@DET,W123-108,7.0,2-3,66.7,2-3,66.7,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,3.0
Yuta Watanabe,2022-23,Regular,Sun 4/2,vsUTAH,W111-110,8.0,2-4,50.0,2-4,50.0,0-0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,6.0,2.0,4.0
Yuta Watanabe,2022-23,Regular,Fri 3/31,vsATL,W124-107,3.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Wed 3/29,vsHOU,W123-114,7.0,0-2,0.0,0-2,0.0,2-2,100.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Yuta Watanabe,2022-23,Regular,Sun 3/26,@ORL,L119-106,12.0,1-3,33.3,0-1,0.0,0-2,0.0,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Yuta Watanabe,2022-23,Regular,Sat 3/25,@MIA,W129-100,6.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
Yuta Watanabe,2022-23,Regular,Thu 3/23,vsCLE,L116-114,13.0,2-3,66.7,0-1,0.0,0-0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0
Yuta Watanabe,2022-23,Regular,Tue 3/21,vsCLE,L115-109,11.0,0-1,0.0,0-0,0.0,0-0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Sun 3/19,vsDEN,L108-102,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Thu 3/16,vsSAC,L101-96,7.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Thu 3/9,@MIL,L118-113,29.0,1-6,16.7,0-4,0.0,2-2,100.0,9.0,1.0,0.0,1.0,3.0,2.0,4.0,0.0,4.0
Yuta Watanabe,2022-23,Regular,Sun 3/5,vsCHA,W102-86,6.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Yuta Watanabe,2022-23,Regular,Fri 2/24,@CHI,L131-87,9.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0
Yuta Watanabe,2022-23,Regular,Mon 2/13,@NY,L124-106,4.0,1-1,100.0,0-0,0.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Sat 2/11,vsPHI,L101-98,5.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Yuta Watanabe,2022-23,Regular,Thu 2/9,vsCHI,W116-105,22.0,5-7,71.4,4-5,80.0,0-0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,14.0,4.0,5.0
Yuta Watanabe,2022-23,Regular,Mon 2/6,vsLAC,L124-116,21.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Yuta Watanabe,2022-23,Regular,Sat 2/4,vsWSH,W125-123,25.0,1-3,33.3,1-2,50.0,0-0,0.0,5.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,2.0
Yuta Watanabe,2022-23,Regular,Wed 2/1,@BOS,L139-96,19.0,1-4,25.0,0-2,0.0,4-4,100.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0
Yuta Watanabe,2022-23,Regular,Mon 1/30,vsLAL,W121-104,21.0,5-7,71.4,1-3,33.3,1-3,33.3,1.0,0.0,2.0,0.0,1.0,0.0,12.0,1.0,3.0
Yuta Watanabe,2022-23,Regular,Sat 1/28,vsNY,W122-115,17.0,3-4,75.0,3-3,100.0,0-0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0
Yuta Watanabe,2022-23,Regular,Thu 1/26,vsDET,L130-122,24.0,2-5,40.0,1-3,33.3,3-3,100.0,5.0,0.0,1.0,0.0,2.0,1.0,8.0,1.0,3.0
Yuta Watanabe,2022-23,Regular,Wed 1/25,@PHI,L137-133,25.0,4-7,57.1,1-3,33.3,2-2,100.0,4.0,2.0,1.0,0.0,2.0,1.0,11.0,1.0,3.0
Yuta Watanabe,2022-23,Regular,Sun 1/22,@GS,W120-116,10.0,1-4,25.0,0-2,0.0,0-0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
Yuta Watanabe,2022-23,Regular,Fri 1/20,@UTAH,W117-106,13.0,1-3,33.3,1-3,33.3,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
Yuta Watanabe,2022-23,Regular,Thu 1/19,@PHX,L117-112,16.0,0-1,0.0,0-0,0.0,1-2,50.0,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Tue 1/17,@SA,L106-98,12.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuta Watanabe,2022-23,Regular,Sun 1/15,vsOKC,L112-102,21.0,2-6,33.3,0-2,0.0,1-2,50.0,5.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0
Yuta Watanabe,2022-23,Regular,Thu 1/12,vsBOS,L109-98,21.0,2-5,40.0,1-3,33.3,0-0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,3.0
Yuta Watanabe,2022-23,Regular,Sun 1/8,@MIA,W102-101,19.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0
Yuta Watanabe,2022-23,Regular,Fri 1/6,@NO,W108-102,9.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
Yuta Watanabe,2022-23,Regular,Wed 1/4,@CHI,L121-112,6.0,0-2,0.0,0-1,0.0,1-2,50.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
Yuta Watanabe,2022-23,Regular,Mon 1/2,vsSA,W139-103,12.0,2-3,66.7,1-1,100.0,2-2,100.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0
Yuta Watanabe,2022-23,Regular,Sat 12/31,@CHA,W123-106,19.0,4-7,57.1,2-5,40.0,1-2,50.0,5.0,1.0,0.0,5.0,0.0,1.0,11.0,2.0,5.0
Yuta Watanabe,2022-23,Regular,Wed 12/28,@ATL,W108-107,23.0,2-6,33.3,0-2,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0
Yuta Watanabe,2022-23,Regular,Mon 12/26,@CLE,W125-117,20.0,4-5,80.0,2-3,66.7,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,2.0,3.0
