Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaden Springer,2022-23,Postseason,Sun 5/14,@BOS,L112-88,4.0,2-2,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Jaden Springer,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,1.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jaden Springer,2022-23,Postseason,Wed 5/3,@BOS,L121-87,10.0,1-1,100.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
Jaden Springer,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Sun 4/9,@BKN,W134-105,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Fri 4/7,@ATL,W136-131 OT,34.0,8-13,61.5,2-3,66.7,1-2,50.0,2.0,3.0,1.0,1.0,6.0,2.0,19.0,2.0,3.0
Jaden Springer,2022-23,Regular,Mon 3/27,@DEN,L116-111,6.0,0-1,0.0,0-0,0.0,2-2,100.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jaden Springer,2022-23,Regular,Sat 3/25,@PHX,L125-105,4.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Fri 3/24,@GS,L120-112,0.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Wed 3/22,@CHI,W116-91,3.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jaden Springer,2022-23,Regular,Sat 3/18,@IND,W141-121,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jaden Springer,2022-23,Regular,Fri 3/17,@CHA,W121-82,7.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Jaden Springer,2022-23,Regular,Sun 3/12,vsWSH,W112-93,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Jaden Springer,2022-23,Regular,Tue 1/17,@LAC,W120-110,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Tue 1/10,vsDET,W147-116,9.0,4-4,100.0,0-0,0.0,2-2,100.0,2.0,1.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0
Jaden Springer,2022-23,Regular,Sat 12/31,@OKC,W115-96,4.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Jaden Springer,2022-23,Regular,Tue 12/13,vsSAC,W123-103,6.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Sun 12/11,vsCHA,W131-113,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jaden Springer,2022-23,Regular,Fri 10/28,@TOR,W112-90,2.0,2-2,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Jaden Springer,2022-23,Regular,Mon 10/24,vsIND,W120-106,2.0,0-1,0.0,0-0,0.0,1-2,50.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Jaden Springer,2022-23,Preseason,Wed 10/12,vsCHA,W99-94,3.0,0-1,0.0,0-1,0.0,4-4,100.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0
Jaden Springer,2022-23,Preseason,Mon 10/10,@CLE,W113-97,7.0,1-3,33.3,0-0,0.0,0-0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0
Jaden Springer,2022-23,Preseason,Wed 10/5,vsCLE,W113-112,5.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Jaden Springer,2022-23,Preseason,Mon 10/3,@BKN,W127-108,16.0,2-6,33.3,0-0,0.0,3-4,75.0,2.0,1.0,2.0,0.0,2.0,0.0,7.0,0.0,0.0
