Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Dereon Seabron,2022-23,Regular,Wed 2/15,@LAL,L120-102,4.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dereon Seabron,2022-23,Regular,Wed 1/11,@BOS,L125-114,3.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Dereon Seabron,2022-23,Regular,Mon 1/9,@WSH,W132-112,3.0,1-3,33.3,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Dereon Seabron,2022-23,Regular,Sun 10/30,@LAC,W112-91,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dereon Seabron,2022-23,Regular,Fri 10/28,@PHX,L124-111,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dereon Seabron,2022-23,Preseason,Fri 10/14,vsATL,W120-111,8.0,1-1,100.0,0-0,0.0,1-3,33.3,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
Dereon Seabron,2022-23,Preseason,Wed 10/12,@MIA,L120-103,10.0,0-3,0.0,0-0,0.0,1-2,50.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Dereon Seabron,2022-23,Preseason,Sun 10/9,@SA,W111-97,8.0,2-4,50.0,0-0,0.0,4-5,80.0,3.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0
Dereon Seabron,2022-23,Preseason,Fri 10/7,vsDET,W107-101,5.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
Dereon Seabron,2022-23,Preseason,Tue 10/4,@CHI,W129-125,6.0,2-3,66.7,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
