Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Vlatko Cancar,2022-23,Postseason,Thu 5/11,@PHX,W125-100,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Postseason,Tue 5/9,vsPHX,W118-102,2.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vlatko Cancar,2022-23,Postseason,Sat 4/29,vsPHX,W125-107,3.0,0-3,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Vlatko Cancar,2022-23,Postseason,Sun 4/16,vsMIN,W109-80,2.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vlatko Cancar,2022-23,Regular,Sun 4/9,vsSAC,W109-95,22.0,2-4,50.0,1-1,100.0,6-7,85.7,3.0,2.0,0.0,2.0,1.0,1.0,11.0,1.0,1.0
Vlatko Cancar,2022-23,Regular,Sat 4/8,@UTAH,L118-114,12.0,1-5,20.0,0-3,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0
Vlatko Cancar,2022-23,Regular,Thu 4/6,@PHX,L119-115,20.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0
Vlatko Cancar,2022-23,Regular,Tue 4/4,@HOU,L124-103,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Vlatko Cancar,2022-23,Regular,Sun 4/2,vsGS,W112-110,3.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Vlatko Cancar,2022-23,Regular,Fri 3/31,@PHX,L100-93,16.0,2-5,40.0,0-2,0.0,2-2,100.0,4.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,2.0
Vlatko Cancar,2022-23,Regular,Thu 3/30,vsNO,L107-88,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Sat 3/25,vsMIL,W129-106,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Wed 3/22,@WSH,W118-104,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Thu 3/16,@DET,W119-100,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Tue 3/14,@TOR,L125-110,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Sun 3/12,vsBKN,L122-120,6.0,0-3,0.0,0-3,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Vlatko Cancar,2022-23,Regular,Tue 2/28,@HOU,W133-112,27.0,3-6,50.0,2-5,40.0,1-1,100.0,4.0,3.0,0.0,1.0,0.0,0.0,9.0,2.0,5.0
Vlatko Cancar,2022-23,Regular,Sun 2/26,vsLAC,W134-124 OT,17.0,2-3,66.7,1-2,50.0,1-2,50.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,1.0,2.0
Vlatko Cancar,2022-23,Regular,Sat 2/25,@MEM,L112-94,19.0,1-5,20.0,0-3,0.0,0-0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0
Vlatko Cancar,2022-23,Regular,Thu 2/23,@CLE,W115-109,26.0,3-6,50.0,1-2,50.0,3-3,100.0,3.0,1.0,0.0,0.0,2.0,0.0,10.0,1.0,2.0
Vlatko Cancar,2022-23,Regular,Wed 2/15,vsDAL,W118-109,25.0,5-11,45.5,0-4,0.0,2-2,100.0,3.0,2.0,0.0,0.0,1.0,0.0,12.0,0.0,4.0
Vlatko Cancar,2022-23,Regular,Mon 2/13,@MIA,W112-108,28.0,4-6,66.7,0-2,0.0,2-2,100.0,5.0,6.0,1.0,1.0,1.0,3.0,10.0,0.0,2.0
Vlatko Cancar,2022-23,Regular,Sat 2/11,@CHA,W119-105,24.0,5-9,55.6,1-3,33.3,1-1,100.0,5.0,2.0,0.0,0.0,2.0,0.0,12.0,1.0,3.0
Vlatko Cancar,2022-23,Regular,Thu 2/9,@ORL,L115-104,12.0,1-3,33.3,1-2,50.0,0-0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0
Vlatko Cancar,2022-23,Regular,Tue 2/7,vsMIN,W146-112,22.0,5-8,62.5,2-5,40.0,0-0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,12.0,2.0,5.0
Vlatko Cancar,2022-23,Regular,Sun 2/5,@MIN,L128-98,29.0,2-5,40.0,0-1,0.0,2-2,100.0,5.0,3.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0
Vlatko Cancar,2022-23,Regular,Sat 2/4,vsATL,W128-108,22.0,1-5,20.0,1-3,33.3,2-2,100.0,1.0,3.0,0.0,1.0,2.0,1.0,5.0,1.0,3.0
Vlatko Cancar,2022-23,Regular,Thu 2/2,vsGS,W134-117,32.0,7-10,70.0,3-4,75.0,0-0,0.0,3.0,3.0,0.0,2.0,3.0,0.0,17.0,3.0,4.0
Vlatko Cancar,2022-23,Regular,Wed 1/25,@MIL,L107-99,20.0,3-5,60.0,1-2,50.0,2-2,100.0,4.0,3.0,1.0,0.0,1.0,3.0,9.0,1.0,2.0
Vlatko Cancar,2022-23,Regular,Tue 1/24,@NO,W99-98,14.0,1-5,20.0,0-3,0.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
Vlatko Cancar,2022-23,Regular,Sun 1/22,vsOKC,L101-99,10.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Wed 1/18,vsMIN,W122-118,16.0,1-4,25.0,0-1,0.0,2-2,100.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0
Vlatko Cancar,2022-23,Regular,Tue 1/17,vsPOR,W122-113,16.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Vlatko Cancar,2022-23,Regular,Fri 1/13,@LAC,W115-103,16.0,1-3,33.3,1-1,100.0,2-2,100.0,4.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0
Vlatko Cancar,2022-23,Regular,Wed 1/11,vsPHX,W126-97,19.0,1-3,33.3,0-2,0.0,0-0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
Vlatko Cancar,2022-23,Regular,Mon 1/9,vsLAL,W122-109,26.0,1-4,25.0,0-1,0.0,0-0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0
Vlatko Cancar,2022-23,Regular,Fri 1/6,vsCLE,W121-108,18.0,2-3,66.7,1-2,50.0,0-0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,5.0,1.0,2.0
Vlatko Cancar,2022-23,Regular,Thu 1/5,vsLAC,W122-91,27.0,6-12,50.0,1-3,33.3,2-2,100.0,12.0,1.0,1.0,1.0,4.0,2.0,15.0,1.0,3.0
Vlatko Cancar,2022-23,Regular,Mon 1/2,@MIN,L124-111,17.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
